OBJECTID,DIVISION_NUM,YEAR,DIVISION_SCORE,Shape__Area,Shape__Length
2019,2139,2018,1.49382716049383,14529492.5181274,22065.3331179018
2020,5315,2018,1.76811594202899,1764676.64874268,7246.13076301024
2021,6401,2018,1.52,5503908.82171631,10569.8779162345
2022,3532,2018,1.65333333333333,1577325.76037598,6079.3447022287
2023,5317,2018,1.80952380952381,1791041.80218506,5366.56068448912
2024,2215,2018,2.08510638297872,1466746.98065186,5436.16900358499
2025,5903,2018,2.52713178294574,932221.715698242,5321.64007930083
2026,5640,2018,1.76608187134503,3522589.51873779,8729.57560079706
2027,6126,2018,1.88505747126437,1332411.75177002,5620.9206886823
2028,1703,2018,1.92248062015504,1038522.21203613,5435.97020739592
2029,5634,2018,1.9,906490.338439941,4948.75979795237
2030,1702,2018,1.80555555555556,502721.307312012,2912.6161230284
2031,5904,2018,1.70238095238095,4501732.56896973,10585.1182595147
2032,1701,2018,2.03508771929825,1026360.29931641,4513.86770328884
2033,0908,2018,1.3452380952381,17044350.6012573,19843.5324802471
2034,6632,2018,1.44444444444444,1693780.31433105,6479.51053509205
2035,6618,2018,1.33333333333333,1238780.45721436,4721.31065597211
2036,5638,2018,1.57142857142857,1660761.87945557,5636.64266263275
2037,6303,2018,1.40229885057471,2923148.65057373,8847.49286339726
2038,0912,2018,1.55191256830601,14362998.1379395,21548.4535234768
2039,2225,2018,1.47368421052632,1333280.5657959,5528.54167237602
2040,2143,2018,1.39007092198582,4119702.89318848,10389.0064035101
2041,5636,2018,1.5,1110278.82714844,4534.82866681373
2042,5612,2018,1.52542372881356,2144081.66870117,8811.27856857732
2043,6407,2018,1.52083333333333,4469611.28424072,10002.2475645226
2044,3501,2018,1.67619047619048,2651845.14001465,6672.00210852611
2045,3504,2018,1.88461538461538,1484666.59332275,6602.30504171304
2046,4919,2018,2.41720430107527,1117153.31768799,4987.73421387524
2047,3516,2018,2.18518518518519,692759.776428223,3355.17693741953
2048,5919,2018,1.88034188034188,1815246.59039307,7352.53347741497
2049,6224,2018,1.66666666666667,2132637.3414917,6786.66836945364
2050,5921,2018,1.80246913580247,1892200.40075684,5563.53384955919
2051,5402,2018,1.97435897435897,807655.569274902,4213.93290241081
2052,6101,2018,2.24242424242424,1634120.53485107,5506.72819896998
2053,2127,2018,1.75925925925926,4391405.56152344,8675.77440558954
2054,5301,2018,2.30894308943089,1015117.85559082,4496.98235539788
2055,5513,2018,1.61616161616162,1118851.21398926,5330.18999726329
2056,4126,2018,1.55555555555556,484389.639038086,3201.03465768106
2057,3522,2018,2.11111111111111,1510240.32781982,6536.19648546205
2058,4118,2018,1.87179487179487,731412.752807617,3447.41656908102
2059,1209,2018,2.01190476190476,2744598.27307129,7234.23334791278
2060,4922,2018,1.77777777777778,2786252.18743896,8659.63696428349
2061,4218,2018,2.47407407407407,2549636.73522949,6836.35264787804
2062,5511,2018,1.54901960784314,1060433.05328369,4373.00176277665
2063,5918,2018,1.89393939393939,3671038.31152344,8259.79240072913
2064,5401,2018,2.14141414141414,1094000.42730713,5218.824715807
2065,5917,2018,1.96428571428571,3374162.70263672,10061.9424527826
2066,6515,2018,1.78571428571429,604742.882263184,3445.4859291649
2067,6220,2018,1.65277777777778,1916038.51367188,6068.11001604951
2068,4225,2018,1.77777777777778,1082438.02380371,4290.81364044549
2069,4224,2018,1.63636363636364,2086973.13928223,6172.33099503442
2070,3526,2018,2.25641025641026,5325253.88262939,9573.81846746759
2071,3511,2018,1.95555555555556,951221.040222168,5021.92445678004
2072,6417,2018,1.69369369369369,1759101.58496094,5713.80152595608
2073,2201,2018,1.36111111111111,4750911.90063477,9548.88136686199
2074,5313,2018,2,1040136.76025391,4823.88098093753
2075,6414,2018,1.63218390804598,1272425.59307861,6478.07089075904
2076,5417,2018,1.95555555555556,692693.244812012,3478.58767448194
2077,1709,2018,2.12244897959184,1110308.07922363,5056.12224267256
2078,1713,2018,1.90849673202614,1526718.668396,5683.99439899077
2079,6403,2018,1.45614035087719,1258967.24072266,4640.4210027169
2080,1202,2018,1.84761904761905,1201863.52978516,4431.37490527075
2081,5909,2018,2.17344173441734,1347370.90106201,4843.10235103047
2082,1711,2018,2.09722222222222,1144636.15692139,4731.27017462015
2083,5911,2018,1.91304347826087,866458.245910645,4534.02597481583
2084,5905,2018,2.08771929824561,1355955.6072998,4694.62686986653
2085,3512,2018,1.93197278911565,3439414.46887207,8339.15631730727
2086,6508,2018,1.63333333333333,3765260.15911865,7737.68926119945
2087,5409,2018,2.25531914893617,968155.681518555,4583.07537302864
2088,5414,2018,1.72727272727273,819221.942871094,4043.72762748573
2089,6108,2018,2.32558139534884,711725.948791504,3863.95949923458
2090,1204,2018,2.51111111111111,749659.79284668,3884.50734820226
2091,3514,2018,1.86274509803922,2521737.78460693,7551.08131172919
2092,6410,2018,1.5625,826127.341430664,3940.94830189173
2093,5907,2018,2.11764705882353,1170421.37280273,4322.02251955679
2094,6411,2018,1.57723577235772,1013522.32983398,5689.84461519366
2095,3531,2018,2.11111111111111,3266004.80175781,7683.22516446815
2096,5923,2018,1.75,805498.933532715,5640.46177457052
2097,3519,2018,2.1875,776677.602783203,4624.03118201582
2098,5916,2018,2.54111111111111,3076238.16955566,9256.22580238838
2099,5306,2018,2.21052631578947,1001294.20599365,4095.82605200395
2100,5411,2018,2.15238095238095,905339.393127441,4032.53771329574
2101,5915,2018,1.88571428571429,1184148.18408203,4921.55429767955
2102,5518,2018,1.95555555555556,1481643.60705566,6299.51642995663
2103,5519,2018,1.84444444444444,739464.919921875,3757.39932159334
2104,1718,2018,2.01111111111111,1097733.08587646,4176.16069530252
2105,1727,2018,2.02222222222222,591714.202148438,3808.86680694386
2106,5406,2018,2.28735632183908,1707836.26092529,6974.89014727776
2107,5410,2018,1.74509803921569,1431370.04724121,4701.46383791667
2108,6116,2018,2.26666666666667,1619522.40240479,7219.28103057665
2109,6517,2018,1.73958333333333,2545855.61077881,7611.1953711816
2110,1716,2018,1.99346405228758,2391417.65197754,7379.12558499762
2111,1717,2018,2,496983.835449219,2966.48363170656
2112,6519,2018,1.59259259259259,1365647.7755127,5245.45234012235
2113,5303,2018,2.02857142857143,2434077.77423096,9511.02334807621
2114,1726,2018,2.01904761904762,480605.986206055,2852.90734984119
2115,6107,2018,2.03921568627451,1016006.20294189,5252.6479003999
2116,1205,2018,2.37333333333333,3690595.28015137,8256.34691514211
2117,6103,2018,1.94666666666667,1421057.53179932,6152.67053337594
2118,4907,2018,1.89054726368159,3039268.50354004,7642.35532551773
2119,3521,2018,2.3448275862069,3614244.36126709,9131.9182360257
2120,5524,2018,1.71717171717172,851430.43359375,3760.02748480273
2121,6109,2018,1.95121951219512,766792.019165039,3554.4236013949
2122,6409,2018,1.64102564102564,853306.242370605,4013.0938202963
2123,5517,2018,1.74712643678161,1113330.08721924,5200.50895163952
2124,5922,2018,1.78260869565217,2461635.09143066,6384.77080776058
2125,6111,2018,2.2020202020202,606673.289611816,3286.02207958871
2126,2203,2018,1.62790697674419,3168779.63220215,7705.49838286324
2127,1719,2018,2.02564102564103,970274.020996094,4089.10366203413
2128,5407,2018,1.89855072463768,1501013.38903809,6339.39513164218
2129,5304,2018,2.05,969547.535888672,4118.82323292026
2130,2131,2018,1.375,2956365.63885498,8504.10067280696
2131,3527,2018,1.91111111111111,5454748.449646,10184.7799114289
2132,6521,2018,1.60683760683761,709269.205078125,3781.16729706414
2133,5405,2018,1.97979797979798,1027156.815979,4289.48575660776
2134,1720,2018,2.1025641025641,728592.882080078,3681.02443859928
2135,5516,2018,1.7843137254902,1172791.42010498,5294.11416545099
2136,5404,2018,1.95121951219512,997203.400512695,4974.41535298254
2137,1325,2018,2.31233465608466,794620.300842285,3894.80728744113
2138,1115,2018,2.17142857142857,570499.547241211,4090.8935084451
2139,4518,2018,2.62139917695473,9056991.96868896,13975.4626418222
2140,1207,2018,2.39141414141414,2672415.64666748,9243.24974956768
2141,5520,2018,1.81981981981982,939441.839172363,4469.9598377404
